,text_cleaned,Z1,Z2,nb_words,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,target
158,last night dream cross country ski gavin pete room taylor share room guess get bandage someone think ok leave dorm check since try help someone else mrs crank prowl taylor catch hide pete bed although thought ok still felt like something wrong send home breaking check father get really mad lecture front whole boy varsity hockey team really embarrass refuge mountain boy hockey team bus stop lou get footstep make much noise gotten fat summer father reading updated version great gatsby actually lou everything work end one die favorite passage first kiss tune fork real book rewrite lou give look cry convince like get together end night clean refuge dinner begin sweep mop sophia get mad think clean earlier clean think bad job get really piss night big winter carnival sort sport game go caroline want come watch swim meet want watch boy hockey game go remember see lou skate onto ice guess start new dream sudden draft war england canon stick terrify get shot leg somehow run boat collect people lou christ sake end bermuda triangle get lose compass point north matter turn idea get anywhere end pretending peter pan captain hook fight wake,10.692607,6.5474157,419,6,4,3,8,4,8,5,7,14,11,0
176,first dream sue live bundy want go work find short finally grab chapstick ipod go work shower delia ask watch zoey play tennis downstairs think really weird care go watch tennis go home get online stick online night sign frustrate sudden spain family tell spanish guy story man order salmon really want soup change order remember lot trouble conjugate decir whole group slate huge hospital center madrid valerie tom shower old bathtub catch flight home get shower realize shampoo conditioner anything go mirror get find middle hospital keep run around try find slate could catch flight father try give mail leave brother start climb really unsteady driftwood ladder fell father catch suppose catch brother miss fell far kept fall fall fall crack skill hit ground cry hard try bring er end go blind never play hockey woke cry ahh,10.676583,6.550036,331,3,4,2,5,2,5,3,7,8,6,0
315,last night bizarre dream dreamt father give pill would make pregnant practice run start really bad cramp stuff decide really want worth practice run suppose go doctor get shot take away instead give pill pill like olive soaked juice olive juice go throat water kind make mouth numb olive go ask cut half look around knife take home cut half second part dream walk grammy know around neighborhood stop church fountain everything want explore walk well go around back climb back step perch little ledge grab onto window could see sound board stuff everybody somehow pastor say hello saw much,5.3450737,11.157232,251,2,4,1,2,3,2,3,6,4,7,0
160,horrible dream drink everyone spain tipsy go ben sort get really close put hand shoulder tell want hook later come tell want felt sick kathy jenny wake,10.671002,6.6207914,77,1,0,2,1,0,1,0,0,4,0,0
165,dream kid spain group army sleep bunk rachel tell ben want hook somehow know sergeant come yell wake morning huge sandstorm move really scary,10.674359,6.63164,77,0,0,0,0,0,0,0,0,0,0,0
377,last night kind bizarre dream dreamt elizabeth house big party try cram people small little house like carport thing front blonde lady try tell set sound system remember set even remember tell remember go bathroom see huge like garbage disposal like type thing people would throw garbage would throw dirty laundry little toilet top people would even go bathroom would like flush handle would like flush toilet reason notion get plug stuff go take dirty laundry cuckoo man,5.4385457,11.206358,201,0,1,3,0,1,0,1,3,7,5,0
151,last night dream tee email lot spring want see school shut basilisk like harry potter kill everyone headmaster call school meeting chapel jay come sat pew babysit frank hour right go home jay invite party,10.557681,6.529101,81,2,0,0,1,0,2,0,1,2,0,0
373,new tape let see good work anyway dream last night still spain reason stuck broken record dream still spain anyway still spain roller blading street go go see show somebody rollerblade get escalator hold onto rail go twice fast normal one think maybe even three time faster go four five got like place chair everybody little road thing sit ramp right front foot like dangle middle road thing mr hollander tell u early come back half hour another dream dinner eat eat thing already course spanish waiter come tray six compartment give two spoonfuls compartment like oh gosh eat water drinking offer vanilla ice cream turn milk another dream walk around go church let think minute remember group perform go sing play band instrument clark marylou lee hank sit sound board marylou go run show show thing silvery white faders little white lever could make say certain word could like make say word preacher come preach boy want fight break thing image men wall priest ask would image wife would stand say stole husband image wake,5.371751,11.019451,428,3,6,0,3,5,3,2,6,5,9,0
574,dream somehow familiar winchester mystery house somewhere like tour despite old house raise walk around park mother mention like see outside thing engineering last time time make way crowded place watch house rise make lap long pillar bend rear strong cable pulley system back end lag like limp drag front wonder ride smooth inside crowd father get leave behind wave people somehow mother find one another child suppose go elsewhere saw one brother stuart high school math teacher mr pelt top roundabout type thing like great america parent suppose go know go kid mean many little one pack cushion lay top u recall sort white powder upon leave escape rejoin parent young child leave adult overheard one man say come ahead child go sort experiment wonder u gap time later small green house almost like trailer kid play football outside think actually grenade told stop playing go know much damage,10.1686,10.55406,330,1,9,1,1,6,2,3,10,6,11,0
159,dream vote popular sophomore high school ski wake,10.613831,6.9422755,24,0,0,0,0,0,0,0,1,0,0,0
122,dream bulletin board student go miss saw picture,10.377988,11.016493,23,0,1,0,1,0,1,0,0,1,0,0
327,kind jumble dream last night dreamt mother boat kind rock remember much next thing know school show movie girl remember celine dion pocahontas snow white kind combination three guy next cell phone beep teacher tell turn sound make back alarm sound teacher take dreamt room listening song call prayer celine dion andre bocelli except celine dion voice like chipmunky really really weird something happen play father walk seem like song still anyway even though voice funny strange woke,5.157439,11.069461,197,0,2,1,1,3,1,1,6,3,4,0
335,last night dreamt mother grocery shopping remember get remember get load load stuff get cooky get bag full cooky white chocolate cover suppose represent celine dion song way guess eat suppose like think song something white cooky like wine black cooky peanut butter line check check line reason another start talk wireless microphone voice hear grocery store pa system lady next line start talk start make feedback shut put basket go store,5.2309847,11.13251,176,1,7,0,0,4,2,3,5,2,9,0
288,dreamt practice step fountain like thing school kind bad luck mr dougherty think get go home get shirt maybe would behave good take shirt slack bra go home come back baby shirt cd player work reason connect tv really understand,5.2064123,10.947314,105,1,2,1,1,2,1,1,1,2,3,0
547,bus station people make nervous go use phone call mother go blind could see periphery panic especially crowd around college create two guy sit computer terminal chat leon several time go back terminal find need log electric toothbrush person sign one point go college radio station room people friendly though talked girl nearby terminal go back sign computer leon online friend marty tell girl meeting sunday nice person encounter think sit tour school homework two girl power brother stuart old history teacher mr sander come math teacher mr johnson one evil girl anger mr sander reason cause heart attack able get shirt lay want help lay head knee turn red great pain place hand heart felt like try punch way chest flinch flutter eye dead try get away heart could truly surface get anxiously tear eye quick brush hand across face close eye step away,10.12436,10.714072,313,3,3,1,7,4,5,2,6,8,8,0
499,dreamt crush jose mad discus fell irrigation system twice try help second time current carry least hour tunnel full breathe ask okay get refused talk,9.267578,9.692161,65,1,1,1,1,0,3,0,1,3,2,0
577,jewish man cross stitch shirt daughter garage neighbor family like sit step garage lead kitchen write chalk look chalkboard call grimwald board crayon daughter tell believe return home sneak back house try erase write get trouble monkey shelf family go fix dinner tell hide attic,13.613366,13.1989,110,1,1,0,3,1,1,0,1,2,2,0
539,english read paper write later read word notice could figure remember way something write color purple paper dream meet aunt uncle foreign exchange student yuriko class live two year canada wear sky turquoise flowery kimono somehow connect ocean speak french somehow know go meet know go movie night,9.443206,11.243497,107,0,0,0,0,0,0,0,3,2,6,0
183,dream jafar aladdin capture take high school really scary tell way would live make ray romano everybody love raymond remember knew get haircut woke,10.622275,6.747062,65,0,0,0,0,0,0,0,1,0,0,0
5,dream middle wood cabin snow really hard outside felt scar lonely,9.788364,11.080498,28,1,0,1,1,0,1,0,0,1,0,0
245,last night kind disturb dream day first day school dreamt father kind crabby mother workroom whisper mother something somehow hear somehow hear come start disconnect wire sound system say make kind smart alec remark say worth anything say well think walk time family time say family time yech say something yell something slam door behind ran mother go thai restaurant fireman people think dream bring subconscious overreaction tease last night use binder tease old bird day remember something else dream mother walk go circuit city think tell drop something go pay remember exactly,5.4005384,11.218365,233,2,3,0,1,3,1,0,6,3,4,0
357,significant dream last night think perfectly explainable one like near dear heart even though extremely embarrass really happen real life okay remember miscellaneous go beforehand little side dream remember main part dreamt practice keyboard plug ac adapter extension cord dresser set top box bed could stand straight sing still able see key like one time movie light bedroom talk mother work room go bedroom turn light reason turn light power extension cord underneath dresser really dream power ac adapter power keyboard even though turn familiar robot voice greet u like oh gosh mean tell put away say select song start playing song see real life song demonstration thing activate say select song start play song demonstrate like celine dion song kind cool mother want teach thing teach note staff turn minute go desk draw five line staff start label line space scrap paper ready go back give mother start teach next thing know back room sort paper miss chance teach show woke mad woke think dream miss chance show something want stuck one track mind thinking lot lately practice every chance get nobody house really die show mother music theory stuff want shy like bring thing practice swear never go tell anybody always end tell mother anyway,5.306112,11.192203,537,2,8,2,3,5,5,2,10,4,13,0
390,know guy horrible tape know never use get old go squeeeeeeeeeeeeeeak get little break cell phone type sound play back never use horrible tape ever let go simple mono voice track one voice close really record whole lot yes use horrible tape know use think year like couple month road might able rip dream file put four five tape one disc worry big long explanation explain later space premium quite dream last night dreamt mr dougherty little theater first stand talk sit chair next next sit lap like mother sit sometimes say big baby talk like alto tendency want rile street like sopranos auditorium stand stage watch come stage real clear morning rest tape rain enough room go another tape time morning like clock already kind like vague foggy put first thing soon wake bit remember suppose gear go sweet adeline workshop next thing know father car mother rid bike alongside wake,5.3218203,11.105284,391,1,7,1,2,4,2,1,6,4,8,0
282,dumb dream last night dreamt keep miss school one reason another even go meet people somewhere go like underground bus system bus driver really see sign go afraid might fall thing fall path go oblivion get mother call make sure get place go lunch realize point go back dreamt chemistry first period another dream remember,5.339421,11.085032,136,1,1,0,3,1,3,0,3,6,2,0
312,yesterday last night dream father green point picnic father exercise boom box blanket play wee sing tape play go go like stuff couple song blue bird decide good idea u hear shut tape put radio soon flounder little mermaid come blanket like pigeon claw like bird perch hand little bit jump back water jump swam around little bit get like challenge water like foot sea wall go meet mother far thing like disneyland playground go suppose tape machine go record noise sound everything fair guess leave picnic area really mother boom box go go see mother playground find sit bottom like walk bird cage start talk different thing plan go like show elephant something wake get weird think lot root past dream sing blue bird really scar feel comfortable play front father disneyland fair thing lot go disneyland lot young meet sheryl sandra sam different place,5.180705,11.112165,377,1,6,1,2,7,6,4,11,8,11,0
580,first apartment guy around one guy meet college sleepover less hair make breakfast meal want help omelet like department store two young sister put unicorn lead around person lead unicorn know may good online friend del speak love marriage would seem possibly topic matter white room appear large gumball machine best describe math teacher mr johnson go speak del ask family friend neil block del vanish begin tell mr johnson meet neil find either del sort gadget think know something del think sort capsule incubator type thing coma monitor del middle street next house get may easily describe round cover picnic table like wienerschnitzel case like teacup ride hovercraft sort others distant sky west ask del see finger look long pale present hand look hand become skeleton move slightly see thumb separate finger first finger seem separate one joint count joint middle finger easily know exactly skin connects finger count maybe ask want count skin take,4.550962,8.670267,347,0,6,0,2,6,2,3,9,2,13,0
82,first dream babysitting layla try everything perfectly since dad soccer coach go ocean come back house bake cooky roll dough mom come back pay next really fancy modern japanese style house every time finish homework assignment allow get get piece candy thing assignment never seem end sooner would finish one would another one finally study hall work ava isaiah beth weird think isaiah like woke,10.285158,10.867046,129,0,3,2,1,2,0,1,2,1,4,0
230,night ago dream sound system upstairs belong school system sometimes would see maintenance guy suit tie come put receiver cd writer cart wheel closet say go store next year soon leave would take put back desk return book librarian afraid go think ever return wake last night peculiar dream first dream near sea wall waterfront everybody want scuba dive say want stay three week go need scuba gear also dream sir galahad paper styrofoam bird paper wing napkin fold tail really listening device could monitor people say phone also two bird archie cocjanicel white bird delicate plume wing raise bird kind cahoot styrofoam sir galahad somehow wing white bird also stay reason also dream sit step foot towards step try get mini cassette work terminal like way loose really cooperate big cardboard box father come step anyway tape really squeaky father come stair say problem woke,5.286728,11.185401,356,0,1,0,2,2,2,0,8,2,8,0
500,dreamt crush jose kiss simple message worry,9.350999,9.7681675,15,0,1,0,1,0,1,0,0,1,0,0
207,dream take sort gym class athletic center mr suzi write workout plan miss bus soccer game father call back someone get hurt drive hospital,10.702626,6.8264003,49,1,0,0,2,0,2,0,3,1,2,0
491,felt like past italy yet area similar maternal grandma jane neighborhood walk hillside grandparent house lot red flower front birdcage kitchen maternal grandpa gerald sibling grandpa gerald die,15.28385,8.297361,62,1,2,1,1,0,1,0,0,2,1,0
356,last night dream camp family like little know exactly old must little feel little act like big felt little compare others mother little always act like big well anyway sheryl sandra also three boy instead sam big boy name steven like big sam little sam like two big boy alright girl kind reserve shy like probably age big boy okay like always saw camouflage would go hunt stuff fishing wood stuff little sam scary though red hair would run around boisterous little thing know think saw near keyboard time carry around run wood remember much happen dream anything remember whenever little sam around really scared remember mother think identify big sam big brother talk phone music stuff little sam little guy scar noise little dream kind combine always sam ronnie wear camouflage big boy compare little,5.2478824,11.1824875,337,2,3,1,1,4,2,1,3,4,6,0
19,dreamed soccer camp room watch movie pitch black soak wet rain coach outside room choose course u next year get really frustrate want choose class want someone choose door open little light crept realize alone aidan come tell chosen take really upset want take course select,10.530014,6.735087,110,2,1,0,1,0,2,0,0,3,1,0
110,dream senior,9.873783,10.706595,7,0,0,0,0,0,0,0,0,0,0,0
317,last night kind strange dream dreamt go party fire people drive along car reason car siren anyway drive along suppose call chief radio tell go little late start professional short transmission turn long wind friendly tease thing never get party know kind dumb,5.2857976,11.148643,109,1,2,0,3,2,1,0,3,4,5,0
25,dream babysitting brother watch movie watch star war trilogy want watch pocahontas something remember public living room people walk one girl huge crush brother babysitting go babysit pike child post start snow mr pike get home unload dishwasher pay let go school start go spanish class somewhere else pack backpack go people keep take stuff pester impossible pack must wake begin new dream one friends culkin family also group aidan get really drunk start walk bridge complain adult never understand kid plan surprise party something aidan meant guard door set wake,10.700715,6.6102967,208,0,5,0,3,2,1,1,5,1,6,0
578,recall detail tooth fell,10.072328,11.645427,9,0,0,0,0,0,1,0,0,1,0,0
525,nighttime chase third fourth floor office building scar think end jump window run past donut shop yellow lit letter sign shop name family,11.049771,13.205928,52,0,0,0,0,0,0,0,0,0,1,0
362,last night let see terrible dream dreamt watch documentary tap tv like news program something celine dion computer go midi file website rene charles baby lap explain view audience song rene like one make nervous put edge one like story go along show rene car get major fiery accident sigh show like three four sudden try fight somebody somebody try attack ambulance come like three year old know use knife take sparkler burn remember exactly happen like rewinding tape like play weird phone rang wake,5.2119365,11.132193,202,3,3,2,6,1,2,2,1,6,2,0
54,dream camilia ed jump mattress main building ask join want go din hall make cup tea mr frank want babysit really want hurried make tea go back din hall harry potter game open scary monster want leave terrible woke,10.5523615,6.6002526,105,2,1,1,2,0,3,1,1,5,4,0
294,last night dream father take radio station go intern kind set loose explore around come big foyer area white floor big huge christmas tree caroler sit elderly woman direct kind like barbara go talk really high soprano could hit high flat understand tell tell tell mother father meet big christmas tree clock kind lead u tour thing go foyer carpet like box stuff pile everywhere watch go little room climb box get like broadcast booth sit back turn elizabeth car transmitter receiver elizabeth car drive away drive back home father say sit till get subordinate dream watch say morning suppose door bobby clock say morning read time mine go clear microwave microwave say morning weird know exactly time,5.211473,11.216093,316,2,7,2,2,4,1,1,5,4,5,0
301,next day last night dream farm like type thing world go tape dream horse guy step away hold like dog leash keep run away start like wrestle stuff finally guy come back start eat clothes body guy come back get control take water reason sudden reach second floor realize house somehow notion father go bring pu around front truck go climb window cross little bridge like type thing go back truck ride along back woke,5.3621817,11.104073,188,1,2,1,1,1,1,2,3,1,4,0
285,last night embarrass dream dreamt school draw picture reason draw picture get frank desk perch something really sick keep almost like fifteen minute everybody around star dream care know picture draw anything oh embarrass wake relieve woke remember dream get school sit desk every often dream like dream tell truth subconscious,5.404017,11.12835,148,0,0,1,0,0,1,0,2,3,2,0
92,dream sue plan go dinner boy date brother organize time place sue take lou go blind date walk room sophia paint wall horrible color wake,10.65184,6.6038375,56,2,1,1,1,0,1,0,2,3,3,0
461,well dreamt dream first clock alarm radio totally whack like light like number go hear time parrot thing go clock double click side key give commercial like open door go next thing give another one also dream big bird back dream like sit two set pillow right well two set pillow dreamt everything sun like five tape machine remember leave easter egg actually two easter egg pot plant tip several odd thing like empty spray bottle stuff whack man,5.3994727,11.199593,174,0,3,1,1,1,0,2,2,2,3,0
216,first dream honor english mr winter teach u hyperbole metaphor allison need pencil lent one sit class mr winter call phone desk tell tell dorothy go die hour freak start sweat shake yell dorothy get hospital hannah gossip next din hall sit alexis pauline faith kylie ask faith kylie party italy,10.528992,6.6928635,120,0,1,0,3,1,2,0,2,3,1,0
402,last night dream boat go boat show walk along dock meet guy boat really really friendly end take u boat impress knew sound stuff remember much remember get start swim another boat close sort anchor really help right stern something cut leg like crazy think propeller sting edge real sharp like knife cut leg like crazy come back guy boat one little scrape know next thing know land back house try father think good time want still one dream want get insured give name could dream place sponsor friday thank god friday party mother sit restaurant booth bench side restaurant booth bench long table front people would get dance sing real showy like people sit booth table side lot people stand around edge people would come dance everybody cheer friday thank god friday eat kind dessert thing next thing know appear front keyboard span like six seven octave like appear front mother say lay front ask procure answer really make big row thing anything really could smile nod head think get picture smile think take hand shook little really could next thing know restaurant adjacent party room like place still finish clean stuff keep eye still mother go bathroom something disappear thin air arlene return place arlene want climb top observatory tower start climb really get half way turn around saw tv heard something radio notion work know oh well wake,5.5203967,11.15544,606,2,10,0,2,9,3,2,12,6,18,0
79,first dream exam time take every exam except spanish spanish clone people jackson right front thing clone come every room impossible keep track finally sra perez say make enough could leave lot feeling towards jackson lately bring tinker empty room anything except kiss whole time felt really sexual shirt something felt like kiss even though anyway awhile person live come back kick u hold hand leave go library start study another exam weird since exam fun friday weird one ever everyone favorite monster onstage plus student monster could see one person two kill monster people come stage monster could see u could also hear u remember look watch realize hour go wake,10.645814,6.5430593,248,0,6,2,3,3,3,2,2,5,4,0
304,last night dreamt boat thing kind like boat bus one think one duck thing suppose take u like fort henderson way top home state back whatever reason would go water sometimes would go land sometimes would sit like sit bus get walk around see stuff around elizabeth lead back kitchen area mr horne slip say hide behind get lot trouble kind like hide behind big hide behind sit start eat breakfast like egg stuff get kind get stand look people sit couch like go bathroom behind someone wake,5.307254,11.012631,211,0,2,0,1,1,1,0,3,0,5,0
95,dream fell asleep right next lou wake next jackson actually wake alone,10.677905,6.7566056,23,0,0,0,0,0,1,0,0,1,0,0
264,dream last night able remember dream one last night dreamt draw picture one green guy supposedly father slammed brake draw picture mother mary another girl figure remember mother put folder computer digital camera take picture save folder father work animation program like slideshow like powerpoint like use mass medium last year click one see one another another like slideshow father work add animation add piece midi music go remake titanic oh happen rid bike tandem street without front anyway go remake titanic movie lady go show say want sit floor right close go kid come sit behind right close tv go show movie remake next thing know sea wall stand little ledge use jump boom box top sea wall get ready jump water turn around turned volume boom box first jump water inflatable ionic column float around water grab hold swim around somebody say main thing movie volume visit website,5.2441936,11.14266,376,0,3,0,0,4,2,0,6,1,11,0
9,dream alexis cook show like year everything really high tech modern cook something sudden male stripper jump start strip really weird though alexis want leave really badly start look exit woman direct cook show mean scary let u leave shelve grind organize alphabetically start one guy come u say would let u help make dinner tried help make dinner reason cook studio turn sand flame beach bonfire middle nowhere wake,10.667647,6.5286493,161,0,0,1,0,1,2,2,2,4,3,0
501,dance brother stuart classmates rachel tommy go dance old classmate tate give best friend emma letter incomplete,9.053383,5.321499,38,0,1,0,0,2,0,0,3,0,3,0
569,remember walk hallway focus hand able levitate rock mother accuse use hair hold check find hairs yet sure rock telekinetically downward pull finger,10.819472,10.769417,55,1,1,0,1,1,1,0,1,2,4,0
379,last night dream school project student could work like basically aquarium little mermaid stuff get permission class like two day week rest semester work dreamt get online get two raw material get stand top aquarium go teapot get set counter ready go sudden reception hall system peavey system set adjust faders somebody could talk microphone wish fee back remember talk say walk around pretty good real nervous go go close speaker make feed back would blame remember guy next adjusting equalizer well person talk microphone start kenny cd play eq sound terrible sit adjust tell guy sit keep hand microphone fader start fee bring immediately remember start pack reason realize naked put stuff back boxes put one speaker top peavey box father already haul truck another stand stand freely remember happen woke,5.275243,11.176044,356,1,6,1,2,3,1,2,9,3,11,0
11,dream bookstore family brother find book harry potter rowling real harry potter book get anyway check mother find bag contain bag jellybeans ask main belong want jellybeans quickly tell mind buy earlier returned school go sophia sue room sue alison hannah aidan jayden start try take sophia bed apart find something everyone positive antique chinese make bed therefore would able take apart put back together start remove different wooden panel never find look put bed back together finally jayden aidan find piece wood shape like elephant hold whole bed together like sort puzzle go back bedroom home fell asleep jackson climb tree near window bed ask come outside scar move desk computer swap someone else use one somehow jackson take bed room horrify grab fly room bed get begin take bed apart leave however get away anyway get back home computer right suppose sign onto aim promptly start talk bill sister relationship best friend sam jon sign ask phone number call give literally within next second phone rang real life debate get pick woke realize jon call since dream,10.671131,6.7631664,393,4,3,2,3,5,6,3,8,7,11,0
21,first dream valerie great big house brody play sort board game think maybe somewhere game sexual reference something soon assault u valerie run fast could house keep follow u finally take belt try whack nothing happen valerie ran house mr carter drive u another house aidan jason save valerie new dream wed sue house everyone dress like drew barrymore ever kid though play game live room go sue brother ian claire wyatt start chat color mr bailey come announce exercise something make wyatt push ups sneak put dress go wake,10.796879,6.4859524,198,2,2,1,1,1,1,1,2,3,2,0
187,dream mr carter sit chair cloud tilt place family live great big mansion obnoxious group girl grade really annoy cut kim hair hair mess frustrate try work turn light leave,9.843682,11.215857,80,3,0,2,0,0,1,0,0,4,0,0
476,birthday kind strange dream last night dreamt summer transition program watson center like full sail three student room big huge synthesizer mixer board look like huge version tascan board guy instructor show u show u organ sound want change get others guy come another student ask student show mix automation change dreamt car edith stella bonnie kind know kind complainer well reason josie give thing milk say take wrap take u home home woke,5.273277,11.210553,195,0,4,0,1,3,0,1,4,0,6,0
559,meet roommate college lay bed friend kip say something insult toward,9.56521,12.51885,20,1,0,1,1,1,1,0,1,1,1,0
404,last night dreamt ginnie spring little campground site walk around various different trail real peaceful mother father suppose like meet somebody somewhere think mother set little campsite set cook tea stuff father go take little roller coaster ride type thing get line sit little two person roller coaster thing behind start go forgotten fasten safety harness yell wait wait wait late already air like go air track little seat detach turn like glider would fly move body kind fly body really really cool get fly across body water little lake come dock able land little thing right dock think pretty cool walk little dock bridge path thingy get little campsite mother set like hang wet clothes dry cook tea second little dream prepare poster thing find three four picture sam music major like little toddler three year old scar look face picture guy picture year old near big smile face know keep come back dream silly silly silly,5.336205,11.122337,372,1,7,1,3,8,5,2,9,6,13,0
182,dream huge party elia hang leave guess go leave together go backyard start tickle wrestle grass mother ruin something go back party plan meet later elias sister angry spring study exam pauline jessica want meet alexis also first finish exam,10.611549,6.510163,111,3,1,3,2,1,4,2,1,6,1,0
355,pretty bizarre dream first let see school miss mr class first get lose hallway second elizabeth mr hildebrand stop talk take clothes take bath school bathroom try figure get back mrs class sudden home setting strange answer machine work concert computer first set request pour quart water totally bizarre computer start go start procedure get part see windows symbol desktop come saw like colorful color pattern like one top real colorful color pattern kind stay somehow notion give answer machine food ate sample blood information,5.3128734,11.091217,209,0,2,0,2,3,2,2,6,3,8,0
57,dream hannah walk back bundy right check saturday night get inside least couple hook right doorway hannah go staircase get room wake,10.567381,6.623195,53,0,0,0,0,0,0,0,0,0,0,0
302,dream remember vaguely old brown truck use reason stick shift father mother start long road trip drive stick shift think radio real difficult shut notion think back one think remember something like oh gee vague would shift stick shift chain would kind whip around little bit stuffed dinosaur truck like hang around floor think stuff dinosaur get way chain remember woke,5.4500413,11.111808,154,2,2,1,3,2,2,1,5,4,6,0
26,dream attend soccer camp hannah sue much fun look forward next weekend go hannah house friday camp walk towards hannah car young camper practically kill u kick soccer ball u load bag car go hannah house remember u shower get wander around house beautiful renaissance style live room two people sex really weird leave woke,10.631559,6.6422625,121,2,2,1,0,3,1,0,1,2,6,0
22,dream snack bar everyone fast asleep attempt sleep remember lou albert lou talk start kiss annoy pretty sure think kiss push away keep kiss leave santa elf something help build sleigh lou begin get sick cheese help feel well finally finish sleigh wake,10.774673,6.614042,111,1,3,3,1,3,1,2,2,1,4,0
445,dreamt finally go back wlfa work dick jorgenson bring mini disc recorder mini disc throw purse lunch bag thing give go sit gorge edit stuff record also mother go make soup tell rather make go wait take stuff make little kitchen make enough everybody take ramen noodle take vegetable thing go wlfa dick really remember much edit remember make soup stuff,5.3620434,11.145551,164,0,3,2,0,2,1,1,2,3,5,0
195,scary dream imperius curse harry potter asleep dream must bug crawl leg real life dream think bug reach belly button would start hallucinate die scary combination batman begin harry potter goblet fire,10.691377,6.764936,71,2,2,2,4,0,3,0,1,4,1,0
490,swim river reason remember father start swim drift way come area river full corp float around disturb try stay away dead body wave splash make would bring close struggle get away contaminate area afraid near body,9.756719,8.767354,79,2,0,0,2,0,2,0,1,3,2,0
129,dream tour ed accept student day already go also english class english class gianna work practice find stuff pauline try help bag carry felt ridiculous woke,8.662527,11.32293,72,1,0,1,0,0,0,0,0,1,2,0
260,last night dream celebrate birthday middle october try show mother draw amplifier living room make perspective people start show party realize forgot call friend invite party people show house even know really rough teenager stuff bring present one bring little church ornament spain remember go tape party go get recorder put tape start make squeak noise meant get eat put decide time,5.424946,11.169791,158,0,6,0,0,5,1,2,4,2,6,0
145,dream take ap u history exam even though take class also forget pen pencil freak get exam ask could go home change allow leave anyway go lake take break take exam way back hill move everyone around walk hill become really mad think go miss exam guess room victoria never make ap take online summer power could make people fall love whomever want woke,10.630523,6.5014906,157,1,1,1,2,1,2,2,0,2,1,0
308,dream last night mother store service merchandise think must buy kitchen supply electronics department saw big saw kinds speaker stuff like see circuit city also saw box big grand year box picture celine dion keyboard celine dion keyboard suppose replica one play mother get think surprise mother learn play think celine dion keyboard brown angle kind slightly like mixer really strange stand alone amplifier internal speaker use like speaker wire connect sit stair keyboard lap connect amplifier speaker wire go play go surprise people thing keep happen never get think go beach walk along beach tell people go wake never get,5.183885,11.140508,241,0,2,0,1,4,1,2,2,1,6,0
473,dream dome chuck flaherty bunch stuff traverse well first control room go desk get paper think go go lady give graduation pencil forget go back cane many step many odd thing nobody really seem different kind find way around one set step like ladder glad would go splat edge make way reason notion audio control room outside little path step next water like fish deck would kind cool,5.335658,11.088625,201,1,2,0,2,4,0,1,3,0,7,0
193,lot dream last night science class oddly enough first mr frank teacher another son want go change diaper alexis bring bathroom change right leave though thought alexis hold onto let go fell hit head pas horrible final project science research jennifer lopez present success term biology committee want figure well market anyway forgotten workbook able ross friends teacher leave crush something really sad rock arm long time leave write email address board later find sleep girl tell night sleep another one student get upset dream protect annakin skywalker padme wed really horrible people keep shoot usually way turn flounder little mermaid pay persuade alligator ambush wedding,10.694658,6.6527586,258,5,6,2,6,3,4,2,6,8,6,0
293,couple dream last night first dream spanish class four people remember tell hammond mandatory chorus rehearsal go let problemo go come auditorium sit four people kind auditorium balcony mr dougherty kind pace around talk u like kind instruct people suppose stand go stage sudden poured class noisier anything real loud ruckussy sound fill auditorium try get everybody quieted remember exactly suppose take picture yearbook guess everybody long pant kind shirt really make whole lot sense dream mr dougherty explain boy fat even sit chair wake like go back sleep another dream dreamt first bedroom daylight bathtub full christmas decoration place store present christmas take bear put around one bear hung door snore musical bear three way switch snore snore play music thing reindeer like mechanical one use mechanical one run dream mechanical part run reason play sound make go bananas dream close door close door latch dream whisper kind perch bed bathtub perch wild kick leg around stuff hold onto rail regular voice oh another one embarrass dream hope nobody ever listen tape wild episode come back bedroom bathtub come back bedroom find mother bed snore away wonder get saw woke,5.248434,10.946688,522,3,4,1,1,6,4,5,6,4,11,0
516,think sit couch father wait program come guess lean arm kind sing along unpretty tlc dad surprise hear make mention conscious think make nervous kept sing stop would embarrass keep knew continue would sustain stop would ignore comment,4.7195687,8.636845,92,0,2,0,1,1,1,2,3,1,1,0
219,last night bad dream life first near senior step back din hall brother fell land keep repeat head sicken crunch horrible dead come home father fight monster work voldemort lake gun look like remote control get frustrate understand work cut purple white boxer use clothies know see mother tan deck go inside kitchen sad father leave notice creamer stand outside pantry slowly turn face get scar fritz evil rabid work creamer try prove mother anorexic run upstairs scar go brother room jump bed nearly hysterical fear beg let sleep brother nail back guess serve stitch evil fritz come creamer rip nail back scream apparently nail family heirloom slytherin also cactus brother bedside table horcrux voldemort use recover sudden russell ted run voldemort run around london high school london try escape run room roommate ron hector chase u want kill baby apparently pregnant run everywhere ginny start slow start freak saw french march band spanish step guess get rome somehow band member dress brightly color robe suppose help u keep play instrument wave flag try save mother get back school suppose go date pete right hockey practice go bathroom try primp reason wet pant matter come ian begin pour heart tell one love still scar ran high school burst tear wake cry,10.644836,6.5850744,486,10,4,4,10,4,7,2,6,16,12,0
217,lot dream last night first mall rome isaiah go really want go figure break father want take book library james dean turn buy since roman library something next school girl school mr persky mr chloe marry hermione hook sirius sirius die like harry potter everyone really mad hermione dream lou,10.660177,6.6359644,135,2,0,1,1,0,2,1,2,3,1,0
